"complaint","department"
"Kindly note that the dustbins near the corner shop area are overflowing with waste.","Sanitation"
"Kindly note that water supply to the water tank area has become very irregular since this afternoon. Regards.","Water Supply"
"a pipeline near Sector 12 has broken and water is flooding the road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Water Supply"
"construction debris has been left on the road near our lane since the rains started","Roads"
"Sir/madam there is a lack of medicines at the health center near our neighbourhood","Health"
"there is a lack of medicines at the health center near the slum area. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem","Health"
"the road divider near the railway station road is broken and dangerous for drivers.","Roads"
"a group of people has been creating public disturbance near our block since the rains started. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Police"
"Could you please look into the issue that there is a lot of noise disturbance near our colony at night? Regards","Police"
"the bus stop near the park area has been broken for 2 weeks now.","Transport"
"Hi team, illegal parking near our colony is causing trouble for residents. Please look into this matter as soon as possible.","Police"
"the bus conductor near the industrial area was rude to passengers. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. regards.","Transport"
"we are fed up as the open drain near our lane is a breeding ground for MOSQUITOES. Requesting immediate action from your department.","Drainage"
"We are suffering a lot because the ambulance service near the apartment complex took too long to respond since last Sunday. Please help   us out.","Health"
"Please act fast, patients at the hospital near the main market area face very long waiting times. Kindly resolve this issue at the earliest","Health"
"loose electric wires are HANGING near the hospital area, posing a safety risk.","Electricity"
"garbage has not been collected in Gandhi Nagar since this afternoon. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Sanitation"
"street light poles in the apartment complex are sparking at night.","Electricity"
"this needs immediate attention. sewage is overflowing onto the street near our colony. Thank you.","Drainage"
"the water pressure in the old town area is extremely low.","Water Supply"
"Could you please look into the issue that a group of people has been creating public disturbance near Nehru Colony for the past few hours?","Police"
"I am writing to report that water supply to our village has become very irregular for the last 5 days.","Water Supply"
"Could you please look into the issue that water supply to our building has become very irregular for the last 5 days? Kindly resolve this issue at the   earliest.","Water Supply"
"It is so painful to see that there is a lack of medicines at the health center near the bridge area. Requesting immediate action from your department.","Health"
"please resolve this on priority basis. the sewage pipeline near our lane has been leaking since last sunday. please take strict action against those responsible.","Drainage"
"there is no proper parking space available near the slum area. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department.","Transport"
"This needs immediate attention. the bus conductor near the housing society was rude to passengers. Kindly resolve this issue at the earliest.","Transport"
"Kindly note that patients at the hospital near the railway station road face very long waiting times","Health"
"This letter is to inform the department that a theft was reported near the school area and no action has been taken.","Police"
"a PIPELINE near the main market area has broken and water is flooding the road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Water Supply"
"Just letting you know anti SOCIAL elements have been loitering near the highway junction for the last 5 days. This should have been fixed long ago.","Police"
"I wish to lodge a complaint regarding the fact that the health camp promised near the industrial area was never conducted.","Health"
"the substation near our building has been making loud noises for almost 10 days.","Electricity"
"a street fight broke out near the industrial area last night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible","Police"
"Could you please look into the issue that the health camp promised near the outskirts of the city was never conducted? We need a permanent solution to this problem.","Health"
"residents of the slum area have not received drinking water for almost 10 days.","Water Supply"
"this letter is to inform the department that the road markings near the highway junction have faded completely. Please help us out.","Roads"
"This is an emergency situation. a theft was reported near the residential block and no action has been taken. Please help us out.","Police"
"This is to formally inform you that the newly laid road near the school area is already cracking.","Roads"
"Could you please look into the issue that the transformer near Gandhi Nagar is damaged and sparking for several days? Hope to see quick action on this","Electricity"
"could you PLEASE look into the issue that there is a shortage of medical staff at the clinic near our street? Thank you.","Health"
"this is an emergency situation. illegal parking near the apartment complex is blocking the road. requesting immediate action from your department.","Transport"
"the road divider near the college road is broken and dangerous for drivers. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible","Roads"
"Could you please look into the issue that heavy rain caused the drain near Shastri Nagar to overflow into houses? Thank you.","Drainage"
"Guys please note a group of people has been creating public disturbance near the water tank area for several days. Thank you.","Police"
"stagnant water from the drain near the slum area is causing diseases. This has been a recurring issue in the area and is causing a lot of inconvenience to RESIDENTS.","Drainage"
"patients at the hospital near the housing society face very long waiting times. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department.","Health"
"this is an emergency situation. public health concerns are rising due to poor waste disposal near Nehru Colony. Kindly resolve this issue at the earliest.","Health"
"Please resolve this on priority basis. the street lights in the government quarters havent worked since last week. Please take strict action against those responsible.","Electricity"
"Could you please look into the issue that the drainage cover near the park area is broken, its a safety hazard? We need a PERMANENT solution to this problem.","Drainage"
"This is to formally inform you that waterlogging near Nehru Colony has made it impossible to walk for several days. Regards.","Drainage"
"My family is really struggling since the buses passing through the slum area are dangerously overcrowded. Waiting for a quick response from your side.","Transport"
"the bus stop near MG Road has been broken for the past 3 days.","Transport"
"To whoever reads this, the public toilet near the housing society is extremely unhygienic.","Sanitation"
"Just letting you know loose electric wires are hanging near the college road, posing a safety risk.","Electricity"
"we are suffering a lot because an unauthorized electricity connection is causing overload in our block. waiting for a quick response from your side.","Electricity"
"Could you please look into the issue that heavy rains have washed away part of the road at our colony? Please help us out.","Roads"
"We are fed up as patients at the hospital near the hospital area face very long waiting times. This should have been fixed long ago.","Health"
"people are dumping waste illegally near the temple area.","Sanitation"
"traffic violations   are common near the flyover and no one is checking. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Police"
"the drainage near the flyover has been overflowing for the past 3 days.","Drainage"
"This is to formally inform you that the bus stop near the water tank area has been broken for over a week. Please send someone to fix this SOON.","Transport"
"This is an emergency situation. buses on the route through the water tank area are always late since last week. This should have been fixed long ago","Transport"
"a large pothole near the highway junction caused an accident yesterday. This has been a RECURRING issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Roads"
"stagnant water from the drain near our lane is causing diseases.","Drainage"
"there is a shortage of medical staff at the clinic near the college road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Health"
"I am writing to report that drains in the slum area are completely blocked with waste.","Drainage"
"This is an emergency situation. the dustbins near the panchayat office area are overflowing with waste. Waiting for a quick response from your side","Sanitation"
"To whoever reads this, the street lights in Ward 7 havent worked for over a week. We need a permanent solution to this problem.","Electricity"
"This is to formally inform you that an electric pole near the apartment complex is damaged and leaning dangerously.","Electricity"
"there is no proper parking space available near MG Road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please send someone to fix this soon.","Transport"
"this needs immediate attention. drains in the bus stand area are completely blocked with waste. waiting for a quick response from your side.","Drainage"
"Could you please look into the issue that mosquito breeding is rampant due to uncollected trash in the water tank area? Thank you.","Sanitation"
"a large pothole near the hospital area caused an accident yesterday.","Roads"
"contaminated water is being supplied to households in the corner shop AREA.","Water Supply"
"kindly note that the water pipe near the school area burst and is flooding the street. Kindly resolve this issue at the earliest.","Water Supply"
"I would like to bring to your attention that the health camp promised near Model Town was never conducted. Waiting for a quick response from your side.","Health"
"there is a terrible smell coming from the drain near Nehru Colony. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Drainage"
"there is a lack of medicines at the health center near MG Road","Health"
"This is to formally inform you that the electricity bill for our block shows incorrect meter reading","Electricity"
"Just letting you know the electricity meter installed at the housing society seems to be faulty","Electricity"
"This is to formally inform you that the road in the park area is completely broken and unusable. Requesting immediate action from your department.","Roads"
"Could you please look into the issue that contaminated water is being supplied to households in our block? We need a permanent solution to this problem","Water Supply"
"We are suffering a lot because public health concerns are rising due to poor waste disposal near Shastri Nagar. Please look into this matter as soon as possible","Health"
"i wish to lodge a complaint regarding the fact that there is a lot of noise disturbance near shastri nagar at night.","Police"
"I wish to lodge a complaint regarding the fact that the electricity bill for the temple area shows incorrect meter reading. Requesting immediate action from your department.","Electricity"
"I am WRITING to report that the drainage near the water tank area has been overflowing for the last few months. Hope to see quick action on this.","Drainage"
"This is an emergency situation. public health concerns are rising due to poor waste disposal near the industrial area. Please look into this MATTER as soon as possible.","Health"
"there is   a major water leakage near Ward 7 for the past 3 days.","Water Supply"
"We are suffering a lot because a large pothole near Shastri Nagar caused an accident yesterday. Requesting immediate action from your department.","Roads"
"contaminated water is being supplied to households in the bus stand area. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Water Supply"
"stagnant water from the drain near the bridge area is causing diseases.","Drainage"
"Hi team, street light poles in the water tank area are sparking at night. Please look into this matter as soon as possible.","Electricity"
"This is an emergency situation. the drainage near the slum area has been overflowing since yesterday. Please take strict action against those responsible","Drainage"
"the sewage pipeline near the bus stand area has been leaking since yesterday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago.","Drainage"
"a huge pile of garbage has accumulated near the highway junction. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department","Sanitation"
"please resolve this on priority basis. the health camp promised near the college road was never conducted. We need a permanent solution to this problem.","Health"
"residents of the highway junction have not received drinking water for the past few hours.","Water Supply"
"mosquito breeding is rampant due to uncollected trash in MG Road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Sanitation"
"Immediate action required: stray animals are scattering garbage all over Ward 7. Kindly resolve this issue at the earliest.","Sanitation"
"mosquito breeding is rampant due to uncollected trash in the school area. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Sanitation"
"the public cleanliness near the outskirts of the city has deteriorated badly. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side","Sanitation"
"We are suffering a lot because contaminated water is being supplied to households in the corner shop area. Thank you.","Water Supply"
"could you please look into the issue that the road near our building has developed deep cracks? thank you.","Roads"
"Guys please note there is no proper parking space   available near the housing society. Please look into this matter as soon as possible.","Transport"
"Could you please look into the issue that the road divider near the outskirts of the city is broken and dangerous for drivers?","Roads"
"Please act fast, traffic jams keep happening near the industrial area due to damaged roads. Please take strict action against those responsible","Roads"
"Immediate action required: the electricity bill for the old town area shows incorrect meter reading.","Electricity"
"I wish to lodge a complaint regarding the fact that the public cleanliness near Model Town has deteriorated badly. Kindly resolve this issue at the earliest.","Sanitation"
"Kindly note that auto rickshaw drivers near the corner shop area are overcharging passengers. Requesting immediate action from your department.","Transport"
"Hi team, water supply to our street has become very irregular since the rains started.","Water Supply"
"it is so painful to see that mosquito breeding is rampant due to uncollected trash in the apartment complex. Hope to see quick action on this.","Sanitation"
"loud music from a shop near   the housing society disturbs the whole neighbourhood. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Police"
"I would like to bring to your attention that the sewage PIPELINE near the housing society has been leaking for the past few hours. Requesting immediate action from your department.","Drainage"
"I would like to bring to your attention that there are huge potholes on the road near the apartment complex.","Roads"
"stray dogs near the hospital in the flyover are becoming a health hazard. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please send someone to fix this soon.","Health"
"I wish to lodge a complaint regarding the fact that auto rickshaw drivers near the apartment complex are overcharging passengers. Waiting for a quick response from your side.","Transport"
"loud music from a shop near our block DISTURBS the whole neighbourhood.","Police"
"It is so painful to see that the electricity meter installed at our building seems to be faulty. Please help us out.","Electricity"
"I feel helpless because suspicious activities have been noticed near the highway junction for the past 3 days. We need a permanent solution to this problem.","Police"
"This is an emergency situation. water supply to the flyover has become very irregular for 2 weeks now. Please take strict action against those responsible","Water Supply"
"I feel helpless because residents of the corner shop area have not received drinking water for the past few hours. Requesting immediate action from your department.","Water Supply"
"public health concerns are rising due to poor waste disposal near the apartment complex. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Health"
"Could you please look into the issue that stray animals are scattering garbage all over Gandhi Nagar? Please take strict action against those responsible.","Sanitation"
"Could you please look into the issue that an ELECTRIC pole near the water tank area is damaged and leaning dangerously? Thank you.","Electricity"
"This is to formally inform you that there is a terrible smell coming from the drain near the   local market. Regards.","Drainage"
"anti social elements have been loitering near the panchayat office area for the last month.","Police"
"to whoever reads this, the water pipe near the old town area burst and is flooding the street.","Water Supply"
"I   feel helpless because the sewage pipeline near our block has been leaking since morning.","Drainage"
"This LETTER is to inform the department that heavy rain caused the drain near the outskirts of the city to overflow into houses. Thank you.","Drainage"
"Could you please look into the issue that the local train service near our village has been delayed for several days? Please look into this matter as soon as possible.","Transport"
"the road near MG Road has developed deep cracks.","Roads"
"traffic violations are common near Nehru Colony and no one is checking.","Police"
"Could you please look into the issue that a group of people has been creating public disturbance near the railway station road since last week? Please look into this matter as soon as possible.","Police"
"To whoever reads this, illegal parking near the school area is causing trouble for RESIDENTS.","Police"
"This letter is to inform the DEPARTMENT that street light poles in the bridge area are sparking at night.","Electricity"
"My family is really struggling since we suspect sewage is mixing with drinking water supply in our building. Please take strict action against those responsible.","Water Supply"
"the footpath near our colony is damaged making it hard for pedestrians. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Roads"
"the road markings near the outskirts of the city have faded COMPLETELY.","Roads"
"Kindly note that the dustbins near the LOCAL market are overflowing with waste.","Sanitation"
"I am writing to report that the road near the water tank area has developed deep cracks.","Roads"
"This is to formally inform you that the sewage pipeline near MG Road has been leaking since this afternoon. Please take strict action against those responsible.","Drainage"
"I am writing to report that loud music from a shop near our lane disturbs the whole neighbourhood. Requesting immediate action from your department.","Police"
"We are fed up as traffic jams keep happening near the apartment complex due to damaged roads. Thank you","Roads"
"the street lights in Gandhi Nagar havent worked for over a week. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Electricity"
"Please RESOLVE this on priority basis. people are dumping waste illegally near the flyover.","Sanitation"
"I feel helpless because heavy rain caused the drain near the school area to overflow into houses. Hope to see quick action on this.","Drainage"
"the drainage cover near the temple area is broken, its a safety hazard. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Drainage"
"i would like to bring to your attention that suspicious activities have been noticed near mg road for several days. we need a permanent solution to this problem.","Police"
"This is an emergency situation. public health concerns are rising due to poor waste disposal near the main market area. Please take strict action against those responsible.","Health"
"could you please look into the issue that the water pressure in the corner shop area is extremely low? Please look into this matter as soon as possible.","Water Supply"
"i am really frustrated that there is no proper parking space available near the residential block.","Transport"
"This needs immediate attention. we suspect sewage is mixing with drinking water supply in the hospital area. Please look into this matter as soon as possible.","Water Supply"
"Immediate action required: the open drain near the bridge area is a breeding ground for mosquitoes. Please help us out.","Drainage"
"Could you please look into the issue that traffic violations are common near the bus stand area and no one is checking? REQUESTING immediate action from your department.","Police"
"Could you please look into the issue that there is a lack of medicines at the health center near Sector 12?","Health"
"Immediate action required: there is a terrible smell coming from the drain near the college road. Regards.","Drainage"
"Could you please look into the issue that the local train service near the park area has been delayed for the last 5 days? Please look into this matter as soon as possible.","Transport"
"Guys please note a group of people has been creating public disturbance near the housing society for several days.","Police"
"Immediate action required: a huge pile of garbage has accumulated near the main market area. Thank you.","Sanitation"
"Could you please look into the issue that a group of people has been creating public disturbance near Ward 7 since last week?","Police"
"Immediate action required: patients at the hospital near Gandhi Nagar face very long waiting times. Please take strict ACTION against those responsible.","Health"
"street light poles in the slum area are sparking at night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Electricity"
"Just letting you know there is   a lot of noise disturbance near Nehru Colony at night. Hope to see quick action on this.","Police"
"could you please look into the issue that the road near the bus stand area has developed deep cracks? thank you.","Roads"
"Could you please look into the issue that stagnant water from the drain near the bridge area is causing diseases? Please send someone to fix this soon.","Drainage"
"a street fight broke out near the   bridge area last night.","Police"
"Could you please look into the issue that there is a terrible smell coming from the   drain near our village? Waiting for a quick response from your side.","Drainage"
"My family is really struggling since the electricity bill for the local market shows incorrect meter reading. Please take strict action against those responsible.","Electricity"
"the public cleanliness near the college road has deteriorated badly.","Sanitation"
"Could you please look into the issue that a pipeline near the residential block has broken and water is flooding the road? Thank you.","Water Supply"
"Please resolve this on priority basis. there is a shortage of medical staff at the clinic near our block. Please send someone to fix this soon.","Health"
"just letting you know the government hospital near gandhi nagar is extremely unclean. please look into this matter as soon as possible.","Health"
"I feel helpless because there is a shortage of medical staff at the clinic near the slum area. Waiting for a quick response from your side.","Health"
"My family is really struggling since there is no proper parking space available near the industrial area.","Transport"
"stagnant water from the drain near the corner shop area is causing diseases","Drainage"
"Please resolve   this on priority basis. traffic violations are common near the park area and no one is checking. This should have been fixed long ago.","Police"
"Sir/madam traffic jams keep happening near our colony due to damaged roads. Regards.","Roads"
"I feel helpless because the water pressure in the college road is   extremely low.","Water Supply"
"auto rickshaw drivers near the water tank area are overcharging passengers.","Transport"
"I would like to bring to your attention that the public cleanliness near the apartment complex has deteriorated badly","Sanitation"
"there is no proper parking space available near the highway junction.","Transport"
"This is an EMERGENCY situation. there is a shortage of medical staff at the clinic near MG Road. Hope to see quick action on this.","Health"
"illegal parking near the bus stand area is blocking the road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest.","Transport"
"there are frequent power cuts in the main market area for the last month. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago.","Electricity"
"Kindly note that heavy rain caused the drain near the bridge area to overflow into houses.","Drainage"
"This needs immediate attention. the newly laid road near Model Town is already cracking. Please help us out.","Roads"
"the road near the government quarters has developed deep cracks. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Roads"
"My family is really struggling since the government hospital near our colony is extremely unclean. Kindly resolve this issue at the earliest","Health"
"we are suffering a lot because garbage has not been collected in the bus stand area for the past few hours. this should have been fixed long ago.","Sanitation"
"Guys please note the transformer near the old town area is damaged and sparking since Monday. Please look into this matter as soon as possible.","Electricity"
"I feel helpless because the water tanker never arrives on time in the slum area. Please take   strict action against those responsible.","Water Supply"
"To whoever reads this, the buses passing through Ward 7 are dangerously   overcrowded. We need a permanent solution to this problem.","Transport"
"This is to formally inform you that there is a shortage of medical staff at the clinic near the apartment complex. This should have been fixed long ago","Health"
"Please resolve this on priority basis. the road markings near the apartment COMPLEX have faded completely.","Roads"
"Please resolve this on priority basis. stray dogs near the hospital in the school area are becoming a health hazard. Please help us out.","Health"
"Just letting you know stray animals are scattering garbage all over Ward 7.","Sanitation"
"We are suffering a lot because the water coming from the tap in the LOCAL market is dirty and smells bad. Thank you.","Water Supply"
"Could you please look into the issue that the dustbins near the highway junction are overflowing with waste?","Sanitation"
"Sir just want to say there is a leaking valve near the railway station road wasting a lot of water. Kindly resolve this issue at the earliest.","Water Supply"
"Could you please look into the issue that the drainage near MG Road has been overflowing for the last 5 days? Regards.","Drainage"
"a group of people has been creating public disturbance near the slum area since morning. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Regards.","Police"
"Could you please look into the issue that the public cleanliness near the bridge area has deteriorated badly? Hope to see quick action on this.","Sanitation"
"Could you please look into the issue that the newly laid road near our street is already cracking? Please send someone to fix this soon.","Roads"
"It is so painful to see that road maintenance near the local market has not been done since this afternoon. Please help us out","Roads"
"We are suffering a lot because the substation near our street has been making loud noises for the past few hours. Kindly resolve this issue at the earliest.","Electricity"
"a large pothole near the main market area caused an accident yesterday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department.","Roads"
"construction debris has been left on the road near the park area for the past 3 days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Roads"
"a chain snatching incident occurred near the hospital area yesterday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Police"
"Could you please look into the issue that the government hospital near our colony is extremely unclean? Thank you.","Health"
"Immediate action required: there is a shortage of medical staff at the clinic near our street. Please help us out.","Health"
"I feel helpless because the electricity bill for Model Town shows incorrect meter reading. Please look into this matter as soon as possible.","Electricity"
"This NEEDS immediate attention. there are frequent power cuts in our colony for several days. Waiting for a quick response from your side.","Electricity"
"the water pipe near the industrial area burst and is flooding the street. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Water Supply"
"Could you please look into the issue that the water pressure in our colony is extremely low? Requesting immediate ACTION from your department.","Water Supply"
"Please resolve this on priority basis. the footpath near Shastri Nagar is damaged making it hard for pedestrians.","Roads"
"auto rickshaw drivers near the hospital area are overcharging passengers.","Transport"
"this is to formally inform you that the health camp promised near mg road was never conducted.","Health"
"there are frequent power cuts in the bus stand area since Monday","Electricity"
"could you please look into the issue that we have received no water supply in our block for several DAYS? We need a permanent solution to this problem.","Water Supply"
"I wish to lodge a complaint regarding the fact that the public cleanliness near the temple area has deteriorated badly.","Sanitation"
"suspicious activities have been noticed near the railway station road for several days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department.","Police"
"This letter is to inform the department that the health camp promised near the bus stand area was never conducted.","Health"
"traffic congestion near the highway junction has become unbearable.","Transport"
"Sir/madam we suspect sewage is mixing with drinking water supply in the highway junction.","Water Supply"
"It is so painful to see that the health camp promised near the temple area was never conducted. Hope to see quick action on this.","Health"
"Could you please look into the issue that the government hospital near the housing society is extremely unclean? Please help us out.","Health"
"We are suffering a lot because stagnant water from the drain near the hospital area is causing diseases. Hope to see quick action on this","Drainage"
"Kindly note that auto rickshaw drivers near the bridge area are overcharging passengers. We need a permanent solution to this problem.","Transport"
"Just letting you know there is a terrible smell coming from the drain near the old town area.","Drainage"
"Guys please note the road in the bridge area is completely broken and unusable. This should have been fixed long ago.","Roads"
"there has been a power failure in our village since last week.","Electricity"
"Just letting you know the STREET lights in the temple area havent worked for over a week. Please take strict action against those responsible.","Electricity"
"the water tanker never arrives on   time in Shastri Nagar.","Water Supply"
"Immediate action required: heavy rains have washed away part of the road at the bridge area. This should have been fixed long ago","Roads"
"Please resolve this on priority basis. the ambulance service near the main market area took too long to respond for the last 5 days. Please take strict action against those responsible.","Health"
"this letter is to inform the department that illegal parking near the panchayat office area is blocking the road. waiting for a quick response from your side.","Transport"
"It is so painful to see that the public cleanliness near the outskirts of the city has deteriorated badly. Requesting immediate action from your department","Sanitation"
"Guys please note there are huge potholes on the road near Gandhi Nagar.","Roads"
"this needs immediate attention. a street fight broke out near Sector 12 last night. Hope to see quick action on this.","Police"
"I am writing to report that a group of people has been creating public disturbance near the highway junction for over a week.","Police"
"please resolve this on priority basis. road maintenance near our street has not been done for the past few hours. regards.","Roads"
"Please resolve this on priority basis. the road markings near the water tank area have faded completely. Kindly resolve this issue at the earliest.","Roads"
"Could you please look into the issue that we have received no water supply in the housing society since morning? Please send someone to fix this soon.","Water Supply"
"the sanitation inside the hospital near our neighbourhood is very poor. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Health"
"Kindly note that the water pressure in the government quarters is EXTREMELY low.","Water Supply"
"there is a leaking valve near the railway station road wasting a lot of water. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest","Water Supply"
"road maintenance near our neighbourhood has not been done continuously since last night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Roads"
"This letter is to inform the department that the dustbins near Model Town are overflowing with waste. Please send someone to fix this soon","Sanitation"
"people are dumping waste illegally near the bridge area.","Sanitation"
"Could you please look into the issue that there has been no electricity supply in the outskirts of the city continuously since last night? Thank you.","Electricity"
"Please act fast, traffic congestion near the bridge area has become unbearable. Regards","Transport"
"To whoever reads this, people are dumping waste illegally near the temple area.","Sanitation"
"please act fast, illegal parking near the slum area is causing trouble for residents. regards.","Police"
"This is an emergency situation. the road markings near our block have faded COMPLETELY. Hope to see quick action on this.","Roads"
"i would like to bring to your attention that the dustbins near the panchayat office area are overflowing with waste.","Sanitation"
"public health concerns are rising due to poor waste disposal near the outskirts of the city. This has been a recurring issue in the area and is causing a lot of inconvenience to RESIDENTS. Kindly resolve this issue at the earliest.","Health"
"this is to formally inform you that we suspect sewage is mixing with drinking water supply in the corner shop   area.","Water Supply"
"Could you please look into the issue that the open drain near the housing society is a breeding ground for mosquitoes? Hope to see quick action on this.","Drainage"
"My family is really struggling since garbege has not been collected in Nehru Colony for the last month. Hope to see quick action on this.","Sanitation"
"Kindly note that the power supply to our BUILDING keeps tripping every few hours.","Electricity"
"mosquito control measures have not been taken near the government quarters since last week","Health"
"guys please note stagnant water from the drain near the hospital area is causing diseases.","Drainage"
"To whoever reads this, the water pipe near Model Town burst and is flooding the street. We need a permanent solution to this problem","Water Supply"
"please resolve this on priority basis. a pipeline near our block has broken and water is flooding the road. Waiting for a quick response from your side.","Water Supply"
"I would like to bring to your attention that the bus stop near our lane has been broken for the last few months. Kindly resolve this issue at the earliest.","Transport"
"URGENT: the traffic signal near the school area has been malfunctioning for the last few months. Requesting immediate action from your department.","Transport"
"Sir/madam there is a terrible smell coming from the DRAIN near our building.","Drainage"
"the dustbins near Gandhi Nagar are overflowing with waste.","Sanitation"
"I feel helpless becuase loud music from a shop near the highway junction disturbs the whole neighbourhood. Waiting for a quick response from your side.","Police"
"suspicious activities have been noticed near the temple area for the past 3 days. This has been a recurring issue in the area and   is causing a lot of inconvenience to residents. Please help us out.","Police"
"Please resolve this on priority basis. water supply to our building has become very irregular for the last few months. This should have been fixed long ago.","Water Supply"
"Sir/madam burning of garbage near the school area is causing air pollution. Kindly resolve this issue at the earliest","Sanitation"
"Just letting you know the bus stop near Nehru Colony has been broken for the last few months","Transport"
"Hi team, water supply to the apartment COMPLEX has become very irregular since the rains started. Hope to see quick action on this.","Water Supply"
"Please resolve this on priority basis. burning of garbege near the corner shop area is causing air pollution. Hope to see quick action on this.","Sanitation"
"a street fight broke out near the industrial area last night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Police"
"I am really frustrated that the water pressure in our block is extremely low. Please take strict action against those responsible.","Water Supply"
"there has been no electricity supply in the industrial area for several days.","Electricity"
"stagnant water from the drain near the temple area   is causing diseases. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago.","Drainage"
"We are suffering a lot because there has been no electricity supply in our colony for the last few months. Thank you","Electricity"
"Could you please look into the issue that the open drain near the main market area is a breeding ground for mosquitoes? Please look into this matter as soon as possible.","Drainage"
"we have received no water supply in the corner shop area for   the last month. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Water Supply"
"Sir just want to say we suspect sewage is mixing with drinking water supply in the outskirts of the city.","Water Supply"
"It is so painful to see that the public toilet near the highway junction is extremely unhygienic.","Sanitation"
"hi team, illegal parking near the slum area is blocking the road.","Transport"
"could you please look into the issue that the public cleanliness near the housing society has deteriorated badly? Thank you.","Sanitation"
"My family is really struggling since we have received no water supply in the old town area for almost 10 days. Requesting immediate action from your department.","Water Supply"
"kindly note that the dustbins near the outskirts of the city are overflowing with waste.","Sanitation"
"the dustbins near Nehru Colony are overflowing with waste","Sanitation"
"we are facing severe voltage fluctuation in the flyover.","Electricity"
"there is no proper parking space available near the outskirts of the city","Transport"
"I wish to lodge a complaint regarding the fact   that there is a shortage of medical staff at the clinic near Sector 12.","Health"
"Please resolve this on priority basis. mosquito control measures have not been taken near the old town area for several days. Hope to see quick action on this.","Health"
"the sewage pipeline near Model Town has been leaking for the last month","Drainage"
"Could you please look into the issue that there has been no electricty supply in the panchayat office area since the rains started? Please take strict action against those responsible.","Electricity"
"my family is really struggling since a group of people has been creating public disturbance near the residential block for the last month. thank you.","Police"
"I feel helpless because the government hospital near the highway junction is extremely unclean. Please look into this matter as soon as possible.","Health"
"the power supply to the slum area keeps tripping every few hours.","Electricity"
"Could you please look into the issue that there is no proper parking space available near the main market area?","Transport"
"the sanitation inside the hospital near the hospital area is very poor. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest.","Health"
